Id	Character	Name	Ability Element	Ability Pot. %	Ability Range	Ability Type	Command ATB	Command Sigil	Effect0	Effect0_Condition	Effect0_Duration	Effect0_EffectCount	Effect0_Extend	Effect0_Pot	Effect0_PotMax	Effect0_Range	Effect0_Type	Effect1	Effect1_Condition	Effect1_Duration	Effect1_EffectCount	Effect1_Extend	Effect1_Pot	Effect1_PotMax	Effect1_Range	Effect1_Type	Effect2	Effect2_Condition	Effect2_Duration	Effect2_EffectCount	Effect2_Extend	Effect2_Pot	Effect2_PotMax	Effect2_Range	Effect2_Type	Effect3	Effect3_Condition	Effect3_Duration	Effect3_EffectCount	Effect3_Extend	Effect3_Pot	Effect3_Range	Effect3_Type	GachaType	MateriaSupport0	MateriaSupport1	MateriaSupport2
1046	Cloud	Umbral Blade	None	430.0	All Enemies	Phys	4		Deals Fixed Additional Damage	When HP is greater than 50.0%				10000		All Enemies	AdditionalEffect	Crit Rate					10.0%		All Enemies	AdditionalEffect																		Event	PATK Boost I	PATK Boost I	PATK Boost I
1047	Cloud	Ragnarok	None	2000.0	Single Enemy	Both	0		Amp. Phys. Abilities		60	1	0	40.0%		Self	StatusChangeEffect	Amp. Mag. Abilities		60	1	0	40.0%		Self	StatusChangeEffect	ATB+3							All Allies	AtbChangeEffect									Ultimate			
1048	Cloud	Fusion Sword	None	1340.0	Single Enemy	Phys	4		Phys. Weapon Boost		60	0	20	40.0%		Self	StatusChangeEffect	Mag. Weapon Boost		60	0	20	40.0%		Self	StatusChangeEffect	Exploit Weakness	When HP is greater than 50.0%	60	0	20	40.0%		Self	StatusChangeEffect	Crit Rate					10.0%	Single Enemy	AdditionalEffect	Limited	PATK Boost I	MATK Boost I	◯ Circle Sigil Boost I (+2)
1049	Cloud	Crimson Blitz	None	800.0	Single Enemy	Mag	3		Status Ailment: Ice Weakness		60		20	+30.0%		Single Enemy	StatusConditionEffect	Ice Damage Bonus	When HP is greater than 50.0%	60	0	20	30.0%		All Allies	StatusChangeEffect	Crit Rate					10.0%		Single Enemy	AdditionalEffect									Limited	PATK Boost I	MATK Boost I	◯ Circle Sigil Boost I (+2)
1050	Cloud	Cruel Successor	Earth	1340.0	Single Enemy	Phys	4		Earth Weapon Boost		25	0	8	35.0%		All Allies	StatusChangeEffect																											Limited	PATK Boost I	PATK Boost I	◯ Circle Sigil Boost I (+2)
2001	Barret	Gatling Gun	None	750.0	Single Enemy	Phys	4	✕ Cross	Crit Rate					10.0%		Single Enemy	AdditionalEffect																											Featured	ATK Boost I	ATK Boost I	PATK Boost I
2002	Barret	Assault Gun	Heal	7.0	All Allies	Phys	4		PDEF Up		14		4	High	High	All Allies	BuffDebuff																											Featured	ATK Boost I	MATK Boost I	ATK Boost (Lightning) I
2007	Barret	Heavy Vulcan	Heal	14.0	Single Ally	Mag	4		MDEF Up		38		12	High	High	Single Ally	BuffDebuff																											Featured	ATK Boost I	MATK Boost I	Buff/Debuff Extension I
2008	Barret	Microlaser	Heal	14.0	Single Ally	Mag	4		MATK Up		38		12	High	High	Single Ally	BuffDebuff	Regen		15	0	3	30.0%		Single Ally	StatusChangeEffect																		Featured	ATK Boost I	MATK Boost I	All (Cure Spells) I
2010	Barret	W Machine	None	510.0	Single Enemy	Phys	4		PDEF Down		25		8	High	High	Single Enemy	BuffDebuff	Crit Rate					10.0%		Single Enemy	AdditionalEffect																		Featured	PATK Boost I	PATK Boost I	PATK Boost I
2011	Barret	Solid Bazooka	None	510.0	Single Enemy	Phys	4		Crit Rate					10.0%		Single Enemy	AdditionalEffect	MATK Down		25		8	High	High	Single Enemy	BuffDebuff																		Featured	ATK Boost I	ATK Boost I	PATK Boost I
2012	Barret	Enemy Launcher	None	650.0	All Enemies	Phys	4		Crit Rate					10.0%		All Enemies	AdditionalEffect																											Featured	ATK Boost I	PATK Boost I	PATK Boost I
2013	Barret	Max Ray	None	750.0	Single Enemy	Mag	4	◊ Diamond	Crit Rate					10.0%		Single Enemy	AdditionalEffect																											Featured	ATK Boost I	ATK Boost I	ATK Boost (Earth) I
2015	Barret	Flame Projector	Fire	520.0	All Enemies	Mag	4																																					Featured	MATK Boost I	MATK Boost I	MATK Boost I
2017	Barret	Electrocannon	Lightning	540.0	All Enemies	Mag	4		PATK Down		30		10	Mid	High	All Enemies	BuffDebuff	MATK Down	When HP is greater than 50.0%	30		10	Mid	Mid	All Enemies	BuffDebuff																		Featured	ATK Boost I	MATK Boost I	◯ Circle Sigil Boost I (+2)
2018	Barret	Heavy Hauser	None	940.0	Single Enemy	Phys	4		Crit Rate					10.0%		Single Enemy	AdditionalEffect																											Featured	PATK Boost I	PATK Boost I	◯ Circle Sigil Boost I (+2)
2019	Barret	Lefko Kypseli	Heal	14.0	Single Ally	Mag	4		PDEF Up		38		12	Mid	High	Single Ally	BuffDebuff																											Event	ATK Boost I	ATK Boost I	MATK Boost I
2020	Barret	Rocket Punch	None	500.0	Single Enemy	Phys	4		Crit Rate					10.0%		Single Enemy	AdditionalEffect																											Event	PATK Boost I	PATK Boost I	◯ Circle Sigil Boost I (+2)
2021	Barret	Sharkslayer	None	420.0	Single Enemy	Phys	3	◊ Diamond	Fire Resistance Down		24		8	High	High	Single Enemy	BuffDebuff	Water Resistance Down	When HP is greater than 50.0%	24		8	High	High	Single Enemy	BuffDebuff	Crit Rate					10.0%		Single Enemy	AdditionalEffect									Featured	ATK Boost I	PATK Boost I	◯ Circle Sigil Boost I (+2)
2022	Barret	Shiva Cannon	Ice	450.0	Single Enemy	Mag	4																																					Grindable	ATK Boost I	MATK Boost I	MATK Boost I
2024	Barret	Hell House Cannon	None	360.0	Single Enemy	Mag	4		MDEF Down		28		9	Low	Mid	Single Enemy	BuffDebuff	Crit Rate					10.0%		Single Enemy	AdditionalEffect																		Event	ATK Boost I	ATK Boost I	MATK Boost I
2025	Barret	Siege Cannon	Water	290.0	All Enemies	Mag	4																																					Event	ATK Boost I	MATK Boost I	MATK Boost I
2027	Barret	Leviathan Buster	Water	450.0	Single Enemy	Mag	4																																					Grindable	ATK Boost I	MATK Boost I	MATK Boost I
2029	Barret	Rhad Cannon	Heal	14.0	Single Ally	Mag	4		PATK Up		44		14	Low	Mid	Single Ally	BuffDebuff	Regen		15	0	3	30.0%		Single Ally	StatusChangeEffect																		Event	ATK Boost I	ATK Boost I	PATK Boost I
2031	Barret	Ultimate Gatling Gun	Heal	5.0	All Allies	Phys	0		PDEF Up		20		20	High	High	All Allies	BuffDebuff																											Ultimate			
2032	Barret	Escutcheon Cannon	Heal	8.0	All Allies	Mag	4		MDEF Up		20		6	High	High	All Allies	BuffDebuff	MATK Up	When HP is greater than 70.0%	20		6	High	High	All Allies	BuffDebuff																		Featured	ATK Boost I	MATK Boost I	◯ Circle Sigil Boost I (+2)
2033	Barret	Sunrise Cannon	None	780.0	All Enemies	Phys	4		Fire Resistance Up		30		10	Mid	High	All Allies	BuffDebuff	Lightning Resistance Up		30		10	Mid	High	All Allies	BuffDebuff	PDEF Up	When HP is greater than 70.0%	30		10	Mid	High	All Allies	BuffDebuff	Crit Rate					10.0%	All Enemies	AdditionalEffect	Featured	PATK Boost I	PATK Boost I	◯ Circle Sigil Boost I (+2)
2035	Barret	Fafnir Rifle	None	540.0	All Enemies	Phys	4		Provoke		60	0	0	0.0%		Self	StatusChangeEffect	Veil		60	0	12	10.0%		Self	StatusChangeEffect	PDEF Up	When HP is greater than 70.0%	20		6	Mid	High	All Allies	BuffDebuff	Crit Rate					10.0%	All Enemies	AdditionalEffect	Limited	PATK Boost I	PATK Boost I	◯ Circle Sigil Boost I (+2)
2036	Barret	Missing Score	Heal	5.0	All Allies	Mag	0		Physical Resistance Increased		15	0	0	50.0%		All Allies	StatusChangeEffect	Magic Resistance Increased		15	0	0	50.0%		All Allies	StatusChangeEffect																		Ultimate			
2038	Barret	Teacher's Paper Fan	Wind	500.0	All Enemies	Phys	3		Wind Resistance Down	When HP is greater than 50.0%	30		10	High	High	All Enemies	BuffDebuff	Veil		60	0	12	10.0%		Self	StatusChangeEffect																		Limited	PATK Boost I	PATK Boost I	◯ Circle Sigil Boost I (+2)
2039	Barret	Hook Launcher	Lightning	290.0	All Enemies	Mag	4																																					Event	ATK Boost I	MATK Boost I	MATK Boost I
2040	Barret	Quad Gatling Gun	None	360.0	Single Enemy	Mag	4		PDEF Down		28		9	Low	Mid	Single Enemy	BuffDebuff	Crit Rate					10.0%		Single Enemy	AdditionalEffect																		Event	ATK Boost I	PATK Boost I	PATK Boost I
3001	Tifa	Leather Gloves	None	540.0	Single Enemy	Phys	4		Crit Rate					10.0%		Single Enemy	AdditionalEffect	PATK Down		25		8	High	High	Single Enemy	BuffDebuff																		Featured	PATK Boost I	PATK Boost I	ATK Boost (Fire) I
3005	Tifa	Grand Gloves	Heal	132.0	Self	Phys	5		Removes Ailment: Poison, Ailment: Silence							Self	CancelEffect																											Featured	ATK Boost I	MATK Boost I	ATK Boost (Water) I
3006	Tifa	Sonic Striker	None	990.0	Single Enemy	Phys	4		Crit Rate					10.0%		Single Enemy	AdditionalEffect																											Featured	ATK Boost I	ATK Boost I	PATK Boost I
3007	Tifa	Tiger Fangs	None	540.0	Single Enemy	Phys	4		MATK Down		25		8	High	High	Single Enemy	BuffDebuff	Crit Rate					10.0%		Single Enemy	AdditionalEffect																		Featured	ATK Boost I	PATK Boost I	PATK Boost I
3010	Tifa	Crystal Gloves	Lightning	500.0	All Enemies	Mag	4																																					Featured	MATK Boost I	MATK Boost I	△ Triangle Boost I (+2)
3011	Tifa	Motor Drive	Wind	790.0	Single Enemy	Phys	4																																					Featured	PATK Boost I	PATK Boost I	PATK Boost I
3013	Tifa	Kaiser Knuckles	None	480.0	Single Enemy	Mag	4		MDEF Down		25		8	High	High	Single Enemy	BuffDebuff	Crit Rate					10.0%		Single Enemy	AdditionalEffect																		Featured	ATK Boost I	ATK Boost I	MATK Boost I
3014	Tifa	Work Gloves	Heal	14.0	Self	Mag	4		PDEF Up		35		11	High	High	Self	BuffDebuff	PATK Up		35		11	High	High	Self	BuffDebuff																		Event	PATK Boost I	PATK Boost I	△ Triangle Boost I (+2)
3015	Tifa	Powersoul	None	900.0	Single Enemy	Mag	4		Crit Rate					10.0%		Single Enemy	AdditionalEffect																											Featured	ATK Boost I	MATK Boost I	MATK Boost I
3019	Tifa	Lifeguard Wraps	Heal	55.0	All Allies	Mag	4																																					Featured	ATK Boost I	MATK Boost I	HEAL Boost I
3020	Tifa	Feathered Gloves	None	420.0	Single Enemy	Phys	3		MDEF Down		24		8	Mid	Mid	Single Enemy	BuffDebuff	Water Damage Up	When HP is greater than 50.0%	35		7	High	High	Self	BuffDebuff	Crit Rate					10.0%		Single Enemy	AdditionalEffect									Featured	ATK Boost I	ATK Boost (Water) I	△ Triangle Boost I (+2)
3024	Tifa	Bahamut Knuckles	None	450.0	Single Enemy	Mag	4	◊ Diamond	Crit Rate					10.0%		Single Enemy	AdditionalEffect																											Grindable	ATK Boost I	ATK Boost I	MATK Boost I
3025	Tifa	Holy Flame Gloves	Ice	800.0	Single Enemy	Phys	4																																					Featured	PATK Boost I	PATK Boost I	◯ Circle Sigil Boost I (+2)
3027	Tifa	Amarant's Claws	None	720.0	Single Enemy	Phys	4		PATK Up		40		8	High	High	Self	BuffDebuff	Crit Rate					10.0%		Single Enemy	AdditionalEffect	MATK Down	When HP is greater than 50.0%	30		10	Mid	High	Single Enemy	BuffDebuff									Event	PATK Boost I	PATK Boost I	PATK Boost I
3028	Tifa	Bunny Gloves	Water	850.0	Single Enemy	Mag	4		MATK Up	When HP is greater than 50.0%	35		7	Low	High	Self	BuffDebuff																											Featured	MATK Boost I	MATK Boost I	△ Triangle Boost I (+2)
3029	Tifa	Oven Mitts	Heal	14.0	Single Ally	Mag	4		PATK Up		44		14	Low	Mid	Single Ally	BuffDebuff	Regen		15	0	3	30.0%		Single Ally	StatusChangeEffect																		Event	ATK Boost I	ATK Boost I	PATK Boost I
3030	Tifa	Turks' Gloves	None	360.0	Single Enemy	Mag	4		PDEF Down		28		9	Low	Mid	Single Enemy	BuffDebuff	Crit Rate					10.0%		Single Enemy	AdditionalEffect																		Event	ATK Boost I	ATK Boost I	PATK Boost I
3031	Tifa	Guide Gloves	None	1300.0	Single Enemy	Phys	4		Crit Rate					10.0%		Single Enemy	AdditionalEffect																											Event	PATK Boost I	ATK Boost (Fire) I	△ Triangle Boost I (+2)
3032	Tifa	Kirin Gloves	Lightning	940.0	Single Enemy	Mag	4		MATK Up	When HP is greater than 50.0%	35		7	Mid	Mid	Self	BuffDebuff																											Limited	MATK Boost I	MATK Boost I	△ Triangle Boost I (+2)
3033	Tifa	Shell Knuckles	Fire	940.0	Single Enemy	Mag	4		Multiply damage	When HP is greater than 70.0%				120.0%		Single Enemy	AdditionalEffect																											Featured	MATK Boost I	MATK Boost I	△ Triangle Boost I (+2)
3034	Tifa	Steward Gloves	None	360.0	Single Enemy	Mag	4		PATK Down		28		9	Low	Mid	Single Enemy	BuffDebuff	Crit Rate					10.0%		Single Enemy	AdditionalEffect																		Event	ATK Boost I	ATK Boost I	MATK Boost I
3035	Tifa	Bahamut Fangs	None	1100.0	Single Enemy	Mag	4		Haste	On first use	30	0	10	0.0%		Self	StatusChangeEffect	MATK Up		25		8	Mid	High	All Allies	BuffDebuff	Crit Rate					10.0%		Single Enemy	AdditionalEffect									Limited	MATK Boost I	MATK Boost I	△ Triangle Boost I (+2)
3036	Tifa	Black Cat's Paws	Lightning	290.0	All Enemies	Mag	4																																					Event	ATK Boost I	ATK Boost I	MATK Boost I
3037	Tifa	Ultimate Leather Gloves	None	1000.0	Single Enemy	Both	0		PATK Up		30		30	Mid	Mid	All Allies	BuffDebuff	MATK Up		30		30	Mid	Mid	All Allies	BuffDebuff																		Ultimate			
3038	Tifa	Sabin's Claws	None	800.0	All Enemies	Phys	4		PATK Up		30		10	Mid	High	Self	BuffDebuff	MATK Up		30		10	Mid	High	Self	BuffDebuff	Deals Fixed Additional Damage	When HP is greater than 50.0%				40000		All Enemies	AdditionalEffect	Crit Rate					10.0%	All Enemies	AdditionalEffect	Limited	PATK Boost I	MATK Boost I	△ Triangle Boost I (+2)
3039	Tifa	Blue Daffodil Gloves	None	1100.0	Single Enemy	Phys	4		Exploit Weakness		70	0	14	40.0%		Self	StatusChangeEffect	Crit Rate					10.0%		Single Enemy	AdditionalEffect																		Limited	PATK Boost I	MATK Boost I	△ Triangle Boost I (+2)
3040	Tifa	Premium Heart	None	2000.0	Single Enemy	Both	0		Haste		30	0	30	0.0%		Self	StatusChangeEffect																											Ultimate			
3041	Tifa	Odin Gloves	Wind	450.0	Single Enemy	Mag	4																																					Grindable	ATK Boost I	MATK Boost I	MATK Boost I
3042	Tifa	Gauntlets of the Worthy	Earth	1120.0	Single Enemy	Phys	4		Earth Damage Up	When HP is greater than 50.0%	25		8	Mid	High	All Allies	BuffDebuff	ATB+3	On first use						Self	AtbChangeEffect																		Limited	PATK Boost I	PATK Boost I	△ Triangle Boost I (+2)
3043	Tifa	Járngreipr	None	250.0	All Enemies	Mag	4		PDEF Down		35		8	Low	Mid	All Enemies	BuffDebuff	Crit Rate					10.0%		All Enemies	AdditionalEffect																		Event	ATK Boost I	PATK Boost I	PATK Boost I
3045	Tifa	Penance Gloves	Fire	290.0	All Enemies	Mag	4																																					Event	ATK Boost I	MATK Boost I	MATK Boost I
3046	Tifa	Shining Gloves	Water	1120.0	Single Enemy	Phys	4		PATK Down		30		10	Mid	High	Single Enemy	BuffDebuff	MATK Down	When HP is greater than 50.0%	30		10	Mid	High	Single Enemy	BuffDebuff																		Featured	PATK Boost I	PATK Boost I	△ Triangle Boost I (+2)
3047	Tifa	Class President's Bracelet	Wind	1060.0	Single Enemy	Phys	4		PATK Up	When HP is greater than 50.0%	25		8	Mid	High	All Allies	BuffDebuff																											Limited	PATK Boost I	PATK Boost I	△ Triangle Boost I (+2)
3048	Tifa	Striped Moogle Gloves	None	360.0	Single Enemy	Mag	4		MATK Down		28		9	Low	Mid	Single Enemy	BuffDebuff	Crit Rate					10.0%		Single Enemy	AdditionalEffect																		Event	ATK Boost I	PATK Boost I	MATK Boost I
3049	Tifa	Leather Combat Gloves	None	1340.0	All Enemies	Mag	4		Status Ailment: Enfeeble	When HP is greater than 50.0%	60		12			All Enemies	StatusConditionEffect	Applied Stats Buff Tier Increased				10	Low	Extra High	All Allies	BuffDebuffEnhance	Crit Rate					10.0%		All Enemies	AdditionalEffect									Limited	PATK Boost I	MATK Boost I	△ Triangle Boost I (+2)
3050	Tifa	Lightning's Gloves	Ice	1340.0	Single Enemy	Mag	4		Ice Resistance Down		25		8	Mid	High	Single Enemy	BuffDebuff	Exploit Weakness	When HP is greater than 70.0%	25	0	8	30.0%		Self	StatusChangeEffect																		Limited	MATK Boost I	MATK Boost I	△ Triangle Boost I (+2)
3052	Tifa	Demon's Impetus	None	1340.0	Single Enemy	Phys	4		Phys. Damage Bonus		60	0	20	40.0%		Self	StatusChangeEffect	PATK Up	When HP is greater than 50.0%	60		20	High	High	All Allies	BuffDebuff	Crit Rate					10.0%		Single Enemy	AdditionalEffect									Limited	PATK Boost I	PATK Boost I	△ Triangle Boost I (+2)
4001	Aerith	Guard Stick	Heal	15.0	Single Ally	Mag	4		MDEF Up		38		12	High	High	Single Ally	BuffDebuff																											Featured	ATK Boost I	MATK Boost I	Buff/Debuff Extension I
4002	Aerith	Silver Staff	Ice	540.0	All Enemies	Mag	4																																					Featured	ATK Boost I	ATK Boost I	MATK Boost I
4003	Aerith	Striking Staff	None	900.0	Single Enemy	Phys	4		Crit Rate					10.0%		Single Enemy	AdditionalEffect																											Featured	ATK Boost I	ATK Boost I	HEAL Boost I
4004	Aerith	Mythril Rod	Heal	10.0	All Allies	Mag	5		PDEF Up		14		4	Mid	Mid	All Allies	BuffDebuff	MDEF Up		14		4	Mid	Mid	All Allies	BuffDebuff																		Featured	ATK Boost I	ATK Boost I	Buff/Debuff Extension I
4005	Aerith	Full Metal Staff	None	340.0	All Enemies	Phys	4		PATK Down		25		8	Mid	Mid	All Enemies	BuffDebuff	Crit Rate					10.0%		All Enemies	AdditionalEffect																		Featured	PATK Boost I	PATK Boost I	PATK Boost I
4007	Aerith	Prism Rod	Wind	800.0	Single Enemy	Mag	4																																					Featured	MATK Boost I	HEAL Boost I	◯ Circle Sigil Boost I (+2)
4008	Aerith	Fairy Tale	Heal	75.0	All Allies	Mag	5																																					Featured	ATK Boost I	MATK Boost I	MATK Boost I
4009	Aerith	Wizard Staff	Lightning	540.0	All Enemies	Mag	4																																					Featured	MATK Boost I	MATK Boost I	MATK Boost I
4010	Aerith	Wizer Staff	Earth	540.0	All Enemies	Mag	4																																					Featured	MATK Boost I	MATK Boost I	△ Triangle Boost I (+2)
4014	Aerith	Sun Umbrella	None	540.0	Single Enemy	Mag	4		PDEF Down		25		8	Mid	Mid	Single Enemy	BuffDebuff	MDEF Down		25		8	Mid	Mid	Single Enemy	BuffDebuff	Crit Rate					10.0%		Single Enemy	AdditionalEffect									Featured	ATK Boost I	MATK Boost I	MATK Boost I
4015	Aerith	Floral Wand	None	420.0	Single Enemy	Phys	3		PDEF Down		24		8	Mid	Mid	Single Enemy	BuffDebuff	Wind Resistance Down	When HP is greater than 50.0%	24		8	High	High	Single Enemy	BuffDebuff	Crit Rate					10.0%		Single Enemy	AdditionalEffect									Featured	PATK Boost I	ATK Boost (Wind) I	All (Cure Spells) I
4016	Aerith	Umbrella	Heal	110.0	Single Ally	Mag	4		Removes PATK Down, MATK Down							Single Ally	CancelEffect																											Event	MATK Boost I	MATK Boost I	All (Cure Spells) I
4018	Aerith	Sea Dragon Staff	None	360.0	Single Enemy	Mag	4		Water Resistance Down		28		9	Mid	Mid	Single Enemy	BuffDebuff	Crit Rate					10.0%		Single Enemy	AdditionalEffect																		Grindable	MATK Boost I	MATK Boost I	MATK Boost I
4019	Aerith	Chocobo Staff	Heal	14.0	Single Ally	Mag	4		MDEF Up		38		12	Mid	High	Single Ally	BuffDebuff																											Event	ATK Boost I	ATK Boost I	MATK Boost I
